번호,대여/반납,일시,보관소명,거치대번호,처리자
738415,대여,2012년01월20일16시13분30초,홍은사거리,5,사용자
738420,대여,2012년01월20일16시37분44초,사천교,3,사용자
738435,대여,2012년01월20일17시03분34초,증산2교,10,사용자
738436,대여,2012년01월20일17시05분20초,증산2교,13,사용자
738439,대여,2012년01월20일17시07분02초,증산2교,20,사용자
738440,대여,2012년01월20일17시07분36초,증산2교,4,사용자
738441,대여,2012년01월20일17시09분44초,홍은사거리,15,사용자
738446,대여,2012년01월20일17시40분44초,증산2교,10,사용자
738447,대여,2012년01월20일17시48분40초,증산2교,11,사용자
738448,대여,2012년01월20일17시49분26초,증산2교,13,사용자
738450,대여,2012년01월20일17시53분00초,사천교,13,사용자
738452,대여,2012년01월20일17시55분34초,증산2교,14,사용자
738453,대여,2012년01월20일17시57분22초,사천교,4,사용자
738454,대여,2012년01월20일17시57분45초,사천교,2,사용자
738455,대여,2012년01월20일17시59분00초,증산2교,2,사용자
738457,대여,2012년01월20일18시09분27초,홍은사거리,5,사용자
977291,대여,2012년02월13일14시27분47초,사천교,18,관리자
977292,대여,2012년02월13일14시27분54초,사천교,15,관리자
977293,대여,2012년02월13일14시27분57초,사천교,13,관리자
977294,대여,2012년02월13일14시28분04초,사천교,9,관리자
977295,대여,2012년02월13일14시28분07초,사천교,5,관리자
977296,대여,2012년02월13일14시28분11초,사천교,7,관리자
977328,대여,2012년02월13일15시20분29초,증산2교,7,사용자
977329,대여,2012년02월13일15시27분34초,증산2교,10,사용자
977335,대여,2012년02월13일15시38분43초,문화촌,12,사용자
977337,대여,2012년02월13일15시40분17초,문화촌,6,사용자
977339,대여,2012년02월13일15시48분40초,문화촌,4,사용자
977357,대여,2012년02월13일15시56분15초,문화촌,17,사용자
977359,대여,2012년02월13일16시54분12초,증산2교,5,사용자
977360,대여,2012년02월13일16시59분59초,홍은사거리,1,사용자
977361,대여,2012년02월13일17시02분19초,홍은사거리,5,사용자
977363,대여,2012년02월13일17시04분51초,홍은사거리,8,사용자
977365,대여,2012년02월13일17시06분38초,홍은사거리,15,사용자
977368,대여,2012년02월13일17시12분32초,홍은사거리,7,사용자
977374,대여,2012년02월13일17시53분14초,해담는 다리,3,사용자
977375,대여,2012년02월13일18시00분12초,해담는 다리,5,사용자
977377,대여,2012년02월13일18시07분33초,홍은사거리,23,사용자
977381,대여,2012년02월13일18시38분15초,해담는 다리,5,사용자
977382,대여,2012년02월13일18시40분21초,해담는 다리,10,사용자
977384,대여,2012년02월13일19시07분05초,해담는 다리,14,사용자
977385,대여,2012년02월13일19시23분08초,증산2교,16,사용자
977386,대여,2012년02월13일19시24분35초,증산2교,18,사용자
977387,대여,2012년02월13일19시30분59초,해담는 다리,8,사용자
